image_name,recipe_name
low_carb_avocado_salad.jpg,Avocado Salad
low_carb_grilled_chicken_breast.jpg,Grilled Chicken Breast
low_carb_cauliflower_rice.jpg,Cauliflower Rice
low_carb_zucchini_noodles.jpg,Zucchini Noodles
low_carb_eggplant_parmesan.jpg,Eggplant Parmesan
low_carb_stuffed_bell_peppers.jpg,Stuffed Bell Peppers
low_carb_salmon_with_spinach.jpg,Salmon with Spinach
low_carb_greek_salad.jpg,Greek Salad
low_carb_chicken_lettuce_wraps.jpg,Chicken Lettuce Wraps
low_carb_baked_broccoli.jpg,Baked Broccoli
vegan_quinoa_salad.jpg,Quinoa Salad
vegan_vegan_burger.jpg,Vegan Burger
vegan_sweet_potato_fries.jpg,Sweet Potato Fries
vegan_chickpea_curry.jpg,Chickpea Curry
vegan_tofu_stir_fry.jpg,Tofu Stir-fry
vegan_vegan_chili.jpg,Vegan Chili
vegan_avocado_toast.jpg,Avocado Toast
vegan_lentil_soup.jpg,Lentil Soup
vegan_stuffed_mushrooms.jpg,Stuffed Mushrooms
vegan_vegan_pasta.jpg,Vegan Pasta
low_fat_grilled_chicken_salad.jpg,Grilled Chicken Salad
low_fat_steamed_vegetables.jpg,Steamed Vegetables
low_fat_fruit_smoothie.jpg,Fruit Smoothie
low_fat_baked_cod.jpg,Baked Cod
low_fat_chicken_soup.jpg,Chicken Soup
low_fat_vegetable_stir_fry.jpg,Vegetable Stir-fry
low_fat_quinoa_with_vegetables.jpg,Quinoa with Vegetables
low_fat_greek_yogurt_with_berries.jpg,Greek Yogurt with Berries
low_fat_oven_roasted_chicken.jpg,Oven-Roasted Chicken
low_fat_spinach_salad.jpg,Spinach Salad
high_protein_grilled_steak.jpg,Grilled Steak
high_protein_chicken_breast_with_veggies.jpg,Chicken Breast with Veggies
high_protein_protein_smoothie.jpg,Protein Smoothie
high_protein_egg_white_omelette.jpg,Egg White Omelette
high_protein_greek_yogurt_with_nuts.jpg,Greek Yogurt with Nuts
high_protein_turkey_meatballs.jpg,Turkey Meatballs
high_protein_cottage_cheese.jpg,Cottage Cheese
high_protein_tuna_salad.jpg,Tuna Salad
high_protein_salmon_with_asparagus.jpg,Salmon with Asparagus
high_protein_beef_stir_fry.jpg,Beef Stir-fry
regular_spaghetti_bolognese.jpg,Spaghetti Bolognese
regular_chicken_caesar_salad.jpg,Chicken Caesar Salad
regular_beef_tacos.jpg,Beef Tacos
regular_cheese_pizza.jpg,Cheese Pizza
regular_chicken_alfredo.jpg,Chicken Alfredo
regular_pancakes.jpg,Pancakes
regular_grilled_cheese_sandwich.jpg,Grilled Cheese Sandwich
regular_beef_stroganoff.jpg,Beef Stroganoff
regular_chicken_quesadilla.jpg,Chicken Quesadilla
regular_lasagna.jpg,Lasagna
diabetic_grilled_salmon_with_vegetables.jpg,Grilled Salmon with Vegetables
diabetic_chicken_and_spinach_salad.jpg,Chicken and Spinach Salad
diabetic_stuffed_bell_peppers.jpg,Stuffed Bell Peppers
diabetic_vegetable_soup.jpg,Vegetable Soup
diabetic_quinoa_and_black_bean_salad.jpg,Quinoa and Black Bean Salad
diabetic_baked_chicken_with_broccoli.jpg,Baked Chicken with Broccoli
diabetic_chia_seed_pudding.jpg,Chia Seed Pudding
diabetic_baked_tilapia_with_asparagus.jpg,Baked Tilapia with Asparagus
diabetic_greek_yogurt_with_nuts.jpg,Greek Yogurt with Nuts
diabetic_roasted_brussels_sprouts.jpg,Roasted Brussels Sprouts
clear_liquid_clear_broth.jpg,Clear Broth
clear_liquid_apple_juice.jpg,Apple Juice
clear_liquid_gelatin.jpg,Gelatin
clear_liquid_popsicles.jpg,Popsicles
clear_liquid_tea.jpg,Tea
clear_liquid_coffee.jpg,Coffee
clear_liquid_broth_based_soup.jpg,Broth-based Soup
clear_liquid_clear_soft_drinks.jpg,Clear Soft Drinks
clear_liquid_coconut_water.jpg,Coconut Water
clear_liquid_fruit_flavored_drinks.jpg,Fruit-flavored Drinks
